2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
47080563.333333336,47920566.748804174,49950792.84750337,46024992.98889009,50015211.31630649,46490653.27510917,45352426.61138334,47419884.49140401,47325997.18111346,48144815.71656452,47240027.919591576,53262958.23757826,52512697.434954494,48123541.74677848,46437147.51426243
46050561.666666664,47629576.75025366,47108794.421952315,48211364.469852224,47414273.2416503,48279982.637554586,47726090.38823973,48260087.750716336,47732811.056299426,49432993.871211484,47684287.651563495,49599485.69617244,45784989.427231774,48928103.90672939,44700215.15892421
48407483.333333336,46985344.42672851,47559486.05488079,47448598.85664977,49057900.785854615,47333012.227074236,47782772.33320769,46696045.200573064,45538744.81246574,49128137.01620351,47355724.31397575,46549196.44979792,47611067.3899053,47578545.8375946,45403064.38467807
47550983.333333336,47467021.30743586,46556785.87494377,51883046.05759896,48998972.495088406,48643309.17030568,48401658.49981154,47579875.53724928,48238800.4071725,47207214.474015616,47773838.54499043,46150027.73595372,46377533.32720419,46922734.71057476,45967629.99185004
48297570.0,47361066.821278445,47351713.90013495,46478173.87552583,45953445.97249509,50384792.13973799,45732785.52581982,48656929.62034384,48984734.16333882,52674635.21114936,50211864.23101468,48788229.653696805,54089054.07741105,48319648.18981387,49730415.84352078
48848230.0,45569302.797506884,47317505.62303194,47581208.068169564,47919779.292730846,49099300.436681226,47390775.53712778,54899150.250716336,48984172.73510297,48766311.30887415,48291620.13401404,48128621.126872174,46973037.60228004,45757649.826140314,48309201.30399348
47063525.0,46267417.190897234,46652215.474583894,48425784.70499407,51521081.5324165,48979234.93449782,48597599.88692047,44451747.851002865,50464325.518753424,46788038.78767526,46165130.02552649,45548204.295110546,49431872.75903282,47164231.090202495,48434262.428687856
47539090.0,45839334.6861864,46598488.52901485,46734026.53435444,46016730.844793715,48153041.048034936,46686903.50546551,48084331.26790831,47354163.338814504,47138543.363277644,50436574.6649649,47721662.572311595,46396736.232417025,46708424.01309061,46168565.60717197
46394921.666666664,46806561.820553705,46042228.96986055,48673289.82849746,47177387.03339882,47247022.70742358,48914987.7497173,47375347.42120344,47348820.76579751,46710006.71648056,46772363.91193363,45803772.88216182,47923160.79801416,49413467.08938433,45500919.511002444
47655305.2,48713422.235106535,46099721.09761584,48977471.685902275,44129551.0805501,46104153.71179039,45546388.99359216,47528729.40544412,46966266.54138282,45671603.5597347,47626670.389278874,46787430.06577383,47739543.991909534,47810876.45735324,47982673.18663406
47431925.0,48013980.286998115,53984734.59289249,48019330.34192644,47241485.42239685,47449270.74235808,47261911.044101015,50270798.71060172,48403789.836347975,47847957.35034842,46399869.97447351,46782643.63261748,46506874.138089545,47552366.53712416,47052273.83863081
47447838.333333336,46749598.49253515,47866047.00854701,46712329.845755585,50247745.57956778,47561760.69868996,52526299.472295515,44969287.35673352,48125981.520632684,48932214.75946604,46325603.860880665,46103752.278310485,46277089.27093868,46150324.197177336,44960184.18907905
49095496.666666664,49310117.40832005,48696178.58749437,47018627.0305253,48126338.07465619,48766572.925764196,51029678.665661514,46828921.91977078,53471979.797979794,46993001.42725212,46426827.53669432,46043794.278468974,52560254.66580859,48705085.907138474,48329196.41401793
52465616.666666664,47288418.61139295,46956656.54520918,48274134.397583865,48437792.730844796,48561752.838427946,50144395.024500564,50121815.00716332,46674380.23647326,47050643.20376123,49923521.059349075,47146152.62699105,45871203.45683552,46994094.90693393,48462376.52811736
47016971.666666664,47648825.91679954,50022552.85650022,46478740.157480314,47405539.292730846,46252821.938864626,45233036.185450435,47384426.934097424,48034117.14039621,46101193.85442028,46362798.659859605,47983412.31476345,48282467.59216696,45414771.93700143,47362285.70497148
50370893.333333336,47701579.93912161,46402719.298245616,49432540.179052964,52039410.609037325,46404529.25764192,46771102.5254429,48781762.17765043,47343063.19003993,49866960.79254471,46841312.22080409,52153859.25984626,44217198.676105544,47493660.25772142,48336829.66585167
45499297.333333336,45959248.296854615,48597717.04903284,47972887.49865171,48492436.54223969,48113635.80786026,46867655.59743686,46089116.224928364,47303135.22825151,46145245.57132063,48286420.70835993,47372144.38545051,46104638.22745242,46922125.178973205,45931869.600651994
46272768.333333336,46942483.14248442,45383123.03193882,47185620.75288534,53333063.85068762,47134933.62445415,46744402.56313607,47581445.200573064,48153375.61663143,48365905.46553606,46313975.74984046,47024575.639908075,48275344.30449572,47704765.80077726,47912094.539527304
46673493.333333336,51032258.2983041,47598767.43139901,48777127.60220041,47079902.75049116,47277702.183406115,53923680.173388615,46748880.19340974,47855729.38689218,46731669.88498027,47141451.21250798,48689221.80838418,52628002.20649076,47028539.57864594,46248431.94784026
46650483.333333336,50403906.36324105,47989678.3625731,44649638.830762595,48147151.27701375,47383989.51965065,45917317.33886167,45783038.14469914,48637470.83235455,45674374.10796742,47946780.47223995,47496629.68539504,47306115.65689069,47932772.55062385,52855274.65362673
45266845.0,47769475.286273375,49294328.60998651,48228579.87272139,47812204.322200395,47093628.8209607,46396171.31549189,47079363.35959885,47753526.74027093,54182588.363697425,46929622.68666241,47904012.20381964,47293707.823848486,44984607.28165269,47095191.52404238
46905636.666666664,48870066.6763299,47179924.65137202,48175806.277639955,50177589.390962675,47194200.0,47830622.87975876,49163848.853868194,47153389.71106413,46955783.72932583,46541995.85194639,47528117.12497028,47210108.485795714,48440158.51912457,47894172.77913611
49180296.666666664,46615584.86737208,47506806.11785875,47174711.46586129,47526655.20628684,49872390.3930131,48252675.27327554,47152542.979942694,49241683.5016835,48090286.28998405,47984386.662412256,49382454.23567636,46703617.72547577,46973621.39496829,45673486.81336594
47500385.0,48753990.433396146,46944202.65407108,48098160.931938305,45858155.20628684,48340475.1091703,46276888.578967206,47011543.69627507,46838603.179077595,47968550.91931827,46439953.73324825,48793389.33354466,46231754.160154454,47664624.66762119,46978028.36185819
47844116.666666664,47801819.104218006,46252461.763382815,49493431.12932801,46107427.308447935,46583953.71179039,46914281.00263852,49728367.65759312,50506629.864536844,47670538.15800521,48885674.05871091,47856902.29019732,49041714.627195,47563180.609531604,45151900.57049715
47504433.333333336,45606950.28264966,52944743.58974359,46993206.77381081,48475134.57760315,48170593.01310044,49453006.030908406,49172629.08309455,47573528.306319006,48525514.230543196,49459454.37141034,46281702.98755845,54496837.36324354,46380686.23440377,47475727.79136104
43732431.666666664,45615144.22380055,46841529.46468736,47821741.991155215,47899938.11394892,48121968.55895197,49519330.11684885,46927450.752149,45256675.27993109,46378095.87776005,48122309.34907466,47590066.566288926,49747230.8540958,46658858.66230313,47464648.93235534
50770911.666666664,47736086.38933179,50363918.12865497,46770335.45464351,49487823.1827112,48269674.23580786,48199794.57218243,47817217.191977076,49465328.47858429,48117729.8295693,47429056.317804724,46546357.87304858,47104544.451595105,46734254.44876253,49212630.80684596
48431486.666666664,46422548.195390634,45377952.091767885,45625399.63326502,48515145.38310412,51039148.47161572,50616818.695816055,46596243.83954155,48105416.17727664,47929520.61119973,47783191.608168475,48199717.88572787,48643217.79902547,47262886.07077112,50174365.11817441
47734541.666666664,46252233.65705175,46832096.266306795,44800186.60338691,48184568.76227898,46386100.436681226,47121986.43045609,46634991.04584527,46361491.66079399,46074578.12106456,48689149.64901085,46680301.92566764,48976177.36508229,46218841.27633463,49791511.00244499
47715558.333333336,45645460.211624876,47441243.81466487,46458308.70456261,49345466.60117878,48436578.16593886,46659514.700339235,46416969.01862464,47160577.088716626,47974417.8994207,47831026.64326739,47734253.90284491,47785594.37344856,47506015.54510125,48668818.25590872
49461448.333333336,46477453.254094794,48206402.38416554,50192073.13126955,47278044.204322204,48174474.23580786,46031102.5254429,45828710.6017192,47314031.00775194,46577464.629334226,48795777.76005105,48110198.90641097,47395871.10416475,48573718.551851094,47753667.481662594
48492506.666666664,46951121.90172489,51101487.85425101,48135750.18876065,47264240.667976424,47368024.45414847,47886825.44289484,48947875.53724928,49214075.64012215,46236500.71362606,49147057.59412891,46538665.50439813,51905385.676197484,47643935.36510534,45819621.84189079
47274223.333333336,47747834.46876359,45991781.37651822,47212699.16945314,46506731.82711198,47233397.37991267,48084911.421032794,49668835.06446991,47673897.98762822,49267901.09982369,47417739.310784936,46415941.041286945,48038601.636480644,46672167.10983841,49009594.13202934
47098150.2,47503422.235106535,47435655.64552407,49201086.18272031,47276460.707269154,47545820.08733624,46499879.38183189,47981217.76504298,47699383.76008143,53745113.76038956,49414090.74664965,48249051.43038276,45412863.84113266,55147842.09449785,46095310.51344743
47797091.666666664,48359154.94999275,47996950.067476384,48005763.13234818,46742660.11787819,49098390.3930131,46450491.89596683,45748434.81375358,45382225.35431838,50066221.14012258,46409083.43969368,47969228.940486565,52406330.78973982,46972116.99734097,46841692.12713937
45076126.666666664,44457476.44586172,47426185.47008547,45371544.60144537,49214477.406679764,50333131.004366815,50191710.327930644,51460667.084527224,45593403.80549683,46954789.52229032,47637779.51499681,46479494.41318647,47591810.60954307,47909746.77848231,46956186.014669925
48813056.666666664,46125953.03667198,48825238.416554205,49736398.4467695,48364332.02357564,49395583.406113535,50049851.111948736,45973438.39541547,47232324.01534727,47642425.48904374,48194212.66751755,46828160.71004041,47039243.35754344,47023897.52505625,49045722.90138549
48627813.333333336,47802174.228149004,46355375.618533514,46802344.9466077,47476451.86640471,48137887.33624454,48403673.20015077,47390953.61747851,47593876.75201628,48822281.92427168,47777712.316528395,45762303.66907045,48605410.49921853,47179341.37860503,48549752.241238795
48950583.333333336,45542565.58921583,47430260.90868196,45552004.098802716,46656811.39489195,46799821.83406114,47784016.20806634,47482429.26217765,46707008.0651476,47070522.206363864,48301699.904275686,46365918.37705048,46987166.498115286,48802177.45960319,44841925.281173594
48434131.666666664,48385598.14465865,54032710.301394515,47842173.44407292,47938038.31041257,45482937.99126638,45856490.765171506,47211002.86532951,46215222.77033905,48215699.26958274,46016507.65794512,45417044.93224503,50110584.72005148,46240305.78850481,46680823.14588427
47640053.333333336,56371216.11827801,46572078.272604585,45732612.44741668,45945555.00982318,44810387.772925764,47415479.64568413,47527452.54297994,46996503.01464255,47998932.0795903,46816404.75430759,47120003.9622791,47085790.19950354,45228747.18756392,45749279.54360228
